id,name,category_id,category_name,quantity,unit,unit_cost,supplier,lot,min_stock,deleted_at,purchase_date,stock_movements_sum_qty,created_at,updated_at
cmnjwhf7900018jydvm585u6g,Café molido,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,g,81.47,N/A,585u6g,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.749Z,0,2026-04-04T05:37:01.749Z,2026-04-05T01:10:40.526Z
cmnjwhf9800028jyduwl16vuy,Aromatizante (canela / vainilla),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,porción,100.0,N/A,l16vuy,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.820Z,0,2026-04-04T05:37:01.820Z,2026-04-05T01:10:40.526Z
cmnjwhf9b00038jyd9h0aypne,Aguardiente nariño,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,ml,75.0,N/A,0aypne,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.823Z,0,2026-04-04T05:37:01.823Z,2026-04-05T01:10:40.526Z
cmnjwhf9d00048jyddhhheu8i,Whisky para cóctel,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,ml,80.0,N/A,hheu8i,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.825Z,0,2026-04-04T05:37:01.825Z,2026-04-05T01:10:40.526Z
cmnjwhf9f00058jydgh37uczl,Leche,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,ml,8.33,N/A,37uczl,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.827Z,0,2026-04-04T05:37:01.827Z,2026-04-05T01:10:40.526Z
cmnjwhfa700068jyds21uj3ed,Agua (indirecto) — ración estándar 180 ml,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,porción,700.0,N/A,1uj3ed,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.855Z,0,2026-04-04T05:37:01.855Z,2026-04-05T01:10:40.526Z
cmnjwhfaf00078jydv73awuv3,Agua (indirecto) — ración estándar 120 ml,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,porción,700.0,N/A,3awuv3,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.863Z,0,2026-04-04T05:37:01.863Z,2026-04-05T01:10:40.526Z
cmnjwhfaj00088jydesqbc9eo,Agua (indirecto) — ración estándar 90 ml,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,porción,700.0,N/A,qbc9eo,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.867Z,0,2026-04-04T05:37:01.867Z,2026-04-05T01:10:40.526Z
cmnjwhfao00098jydrz7mmbpg,Agua (indirecto) — ración estándar 200 ml,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,porción,700.0,N/A,7mmbpg,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.872Z,0,2026-04-04T05:37:01.872Z,2026-04-05T01:10:40.526Z
cmnjwhfar000a8jyd3y6zrrwi,Agua (indirecto) — jarra 1000 ml,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,porción,700.0,N/A,6zrrwi,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.875Z,0,2026-04-04T05:37:01.875Z,2026-04-05T01:10:40.526Z
cmnjwhfau000b8jyd7yr3vkch,Energía (indirecto) — estándar,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,porción,200.0,N/A,r3vkch,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.878Z,0,2026-04-04T05:37:01.878Z,2026-04-05T01:10:40.526Z
cmnjwhfax000c8jydpjvff0qh,Energía (indirecto) — preparación fría,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,porción,300.0,N/A,vff0qh,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.881Z,0,2026-04-04T05:37:01.881Z,2026-04-05T01:10:40.526Z
cmnjwhfb0000d8jyddbjhnugs,Energía (indirecto) — jarra,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,porción,500.0,N/A,jhnugs,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.884Z,0,2026-04-04T05:37:01.884Z,2026-04-05T01:10:40.526Z
cmnjwhfb3000e8jydjoqpjhi9,Café preparado,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,ml,10.0,N/A,qpjhi9,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.888Z,0,2026-04-04T05:37:01.888Z,2026-04-05T01:10:40.526Z
cmnjwhfbp000f8jydnzadwmzp,Hielo,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,porción,200.0,N/A,adwmzp,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.909Z,0,2026-04-04T05:37:01.909Z,2026-04-05T01:10:40.526Z
cmnjwhfbr000g8jydw3rzcr1i,Azúcar,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000.0,porción,100.0,N/A,rzcr1i,0.0,2026-04-05T01:10:40.524Z,2026-04-04T05:37:01.911Z,0,2026-04-04T05:37:01.911Z,2026-04-05T01:10:40.526Z
