id,name,category_id,category_name,quantity,unit,unit_cost,supplier,lot,min_stock,deleted_at,purchase_date,stock_movements_sum_qty,created_at,updated_at
cmnjwqi6i0002chydpydr6tiw,Energía (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,200,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-negro-artesanal:L2,,2026-04-05T00:56:48.223Z,,0,2026-04-04T05:44:05.514Z,2026-04-05T00:56:48.224Z
cmnjwqi6k0003chyd2v3p1ieh,Administración (30%),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,637,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-negro-artesanal:L3,,2026-04-05T00:48:10.090Z,,0,2026-04-04T05:44:05.516Z,2026-04-05T00:48:10.092Z
cmnjwqi740009chydq8yha783,Café molido,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,g,81.47,"Costo unitario (hoja): $81,5/g | Cantidad (hoja): 15 g",seed:receta:cafe-aromatizado:L0,,2026-04-05T00:56:48.232Z,,0,2026-04-04T05:44:05.536Z,2026-04-05T00:56:48.232Z
cmnjwqi76000achyd4dqwdbzu,Aromatizante,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,100,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-aromatizado:L1,,2026-04-05T00:56:48.231Z,,0,2026-04-04T05:44:05.538Z,2026-04-05T00:56:48.231Z
cmnjwqi78000bchydmbtetsyv,Agua (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,3.89,Costo unitario (hoja): — | Cantidad (hoja): 180 ml,seed:receta:cafe-aromatizado:L2,,2026-04-05T00:56:48.230Z,,0,2026-04-04T05:44:05.540Z,2026-04-05T00:56:48.230Z
cmnjwqi79000cchyd1hjzb6nn,Energía (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,200,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-aromatizado:L3,,2026-04-05T00:56:48.228Z,,0,2026-04-04T05:44:05.541Z,2026-04-05T00:56:48.228Z
cmnjwqi7a000dchydckaoqabb,Administración (30%),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,667,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:cafe-aromatizado:L4,,2026-04-05T00:48:10.090Z,,0,2026-04-04T05:44:05.542Z,2026-04-05T00:48:10.092Z
cmnjwqi7h000kchyd2q872ec2,Café molido,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,g,81.47,"Costo unitario (hoja): $81,5/g | Cantidad (hoja): 15 g",seed:receta:carajillo:L0,,2026-04-05T00:56:48.234Z,,0,2026-04-04T05:44:05.549Z,2026-04-05T00:56:48.234Z
cmnjwqi7i000lchyde6uyxvjz,Aguardiente nariño,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,75,Costo unitario (hoja): $75/ml | Cantidad (hoja): 30 ml,seed:receta:carajillo:L1,,2026-04-05T00:56:48.234Z,,0,2026-04-04T05:44:05.550Z,2026-04-05T00:56:48.234Z
cmnjwqi7j000mchyda4qb9i9m,Agua (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,5.83,Costo unitario (hoja): — | Cantidad (hoja): 120 ml,seed:receta:carajillo:L2,,2026-04-05T00:56:48.233Z,,0,2026-04-04T05:44:05.551Z,2026-04-05T00:56:48.233Z
cmnjwqi7n000nchydf9nfw2ee,Energía (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,200,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:carajillo:L3,,2026-04-05T00:56:48.233Z,,0,2026-04-04T05:44:05.555Z,2026-04-05T00:56:48.233Z
cmnjwqi7o000ochyd0tzl5lgc,Administración (30%),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,porción,1312,Costo unitario (hoja): — | Cantidad (hoja): —,seed:receta:carajillo:L4,,2026-04-05T00:48:10.090Z,,0,2026-04-04T05:44:05.556Z,2026-04-05T00:48:10.092Z
cmnjwqi7u000vchydlff6633k,Café molido,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,g,81.47,"Costo unitario (hoja): $81,5/g | Cantidad (hoja): 15 g",seed:receta:cafe-con-leche:L0,,2026-04-05T00:56:48.236Z,,0,2026-04-04T05:44:05.562Z,2026-04-05T00:56:48.236Z
cmnjwqi7v000wchydncoya9o9,Leche,cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,8.33,Costo unitario (hoja): — | Cantidad (hoja): 60 ml,seed:receta:cafe-con-leche:L1,,2026-04-05T00:56:48.236Z,,0,2026-04-04T05:44:05.563Z,2026-04-05T00:56:48.236Z
cmnjwqi7x000xchydl6f1rwub,Agua (Indirecto),cmnl1lsg60000trjnqa3tu7aa,Recetas (costeo),10000,ml,5.83,Costo unitario (hoja): — | Cantidad (hoja): 120 ml,seed:receta:cafe-con-leche:L2,,2026-04-05T00:56:48.235Z,,0,2026-04-04T05:44:05.565Z,2026-04-05T00:56:48.235Z
